Compare C:\Projects\Marilo\docs\component-specs with C:\Projects\blazor-docs\components
4/14/2026 9:30:23 AM
Filename,Folder,Comparison Result,Left Date,Right Date,Extension,Differences,Prediffer
wai-aria-support.md,flatcolorpicker\accessibility,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,flatcolorpicker,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,floatingactionbutton\accessibility,Text files are different,* 3/30/2026 2:05:01 PM,  3/29/2026 7:36:44 PM,md,2,
overview.md,floatingactionbutton,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,1,
position-and-alignment.md,floatingactionbutton,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,2,
overview.md,floatinglabel,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,2,
wai-aria-support.md,form\accessibility,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,1,
formitemstemplate.md,form\formitems,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,1,
template.md,form\formitems,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,form,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,1,
formgroups.md,form,Text files are different,* 3/30/2026 2:12:25 PM,  3/29/2026 7:36:44 PM,md,2,
overview.md,form,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,2,
validation.md,form,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,3,
overview.md,gantt\accessibility,Text files are different,* 4/9/2026 2:30:34 PM,  3/29/2026 7:36:44 PM,md,2,
wai-aria-support.md,gantt\accessibility,Text files are different,* 4/9/2026 12:25:20 PM,  3/29/2026 7:36:44 PM,md,7,
databind.md,gantt\dependencies,Text files are different,* 4/9/2026 12:22:19 PM,  3/29/2026 7:36:44 PM,md,3,
editing.md,gantt\dependencies,Text files are different,* 4/9/2026 12:22:16 PM,  3/29/2026 7:36:44 PM,md,1,
bound.md,gantt\gantt-tree\columns,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,4,
command.md,gantt\gantt-tree\columns,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,3,
display-format.md,gantt\gantt-tree\columns,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,1,
menu.md,gantt\gantt-tree\columns,Text files are different,* 4/9/2026 1:08:55 PM,  3/29/2026 7:36:44 PM,md,2,
flat-data.md,gantt\gantt-tree\data-binding,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,1,
